,axis_major_length,axis_minor_length,area
0,161.62091707469622,111.06131134747368,13852
1,503.16205023024935,195.5187967127831,76471
2,718.120212793773,128.35792874832157,71787
3,431.7258848539172,159.01745613906687,48844
4,470.94245213056234,197.00463339550947,71857
5,549.7066034359743,188.3414915557074,79175
6,462.0694091607201,191.74480388485068,68337
7,369.0600103522897,243.78849005386033,63955
8,451.2531870207678,252.10089228401532,87818
9,194.8554014284213,94.79585294915192,14186
10,293.6637806095889,194.9563636007646,39682
11,406.65144063150115,221.5456607581172,70437
12,175.41175684301987,122.88793813873762,15924
13,356.3398270370082,77.77759911689351,21391
14,255.5612465955241,109.31696307319861,21625
15,400.0028996132361,126.28873906253686,37211
16,297.71441805329926,53.94695981285079,12386
17,479.11449162993773,297.3196006969664,97358
18,364.5478371108046,215.66051021889794,61589
19,226.65809501121328,99.10667426234278,17132
