,isodata,canny,flood_fill,ict,watershed,felzenszwalb
0,0.9999148199152068,1.0,1.0,1.0,0.03014764798771517,1.0
1,0.9998536749541684,0.9999122024028404,1.0,1.0,0.030754921995773784,1.0
2,0.998050324046766,0.9997329773074655,0.998665599731637,1.0,0.02218357603253746,1.0
3,0.9996356722529786,0.9999316784332118,0.9999544517701299,1.0,0.026042450690381243,1.0
4,0.9990622657658521,1.0,1.0,1.0,0.0331255792978226,1.0
5,0.9662749631644565,1.0,1.0,1.0,0.10272839213120083,1.0
6,0.9941267457057316,1.0,1.0,1.0,0.0739937181989367,1.0
7,1.0,1.0,1.0,1.0,0.05986963055720919,1.0
8,0.9991831019957689,1.0,1.0,1.0,0.10370296475063476,1.0
9,0.99788732614843,1.0,1.0,1.0,0.1467201574568919,1.0
10,0.9927414750303217,1.0,1.0,1.0,0.12260549517512083,1.0
11,0.9881552608651561,0.9995906085758193,0.9888433166165923,1.0,0.04049905460123861,1.0
12,0.5768585143818394,1.0,1.0,1.0,0.18309007671744576,1.0
13,0.9942626629964403,1.0,0.9997123468628004,1.0,0.02822226983835972,1.0
14,0.9991928976032103,1.0,1.0,1.0,0.12495225410120599,1.0
15,0.993529042750038,1.0,0.9990657865160657,1.0,0.027426338613376035,1.0
16,0.9991375354537977,1.0,1.0,1.0,0.02911733468746642,1.0
17,0.9998376438889602,0.9998701130020995,1.0,1.0,0.03372508782381019,1.0
18,1.0,1.0,1.0,1.0,0.0572308539726288,1.0
19,0.9996378779758363,1.0,0.9997771401534093,1.0,0.027488509210249437,1.0
